"plotn"	"TypePL"	"TCT"	"PLrr"	"MF"	"TypeMF"	"Aridity"	"RWC"	"Height"	"Shanon"	"alpha"	"Potential"	"SLO"	"Sand"	"Facil"	"HumanFootprint"	"Cow"	"Goat"	"Pig"	"prod"	"veg_type"	"ph"	"sr"	"lat"	"long"
"502"	"133"	0	13.05	0.499934632	-0.293301022	0	0.583	24.92236231	1.694745554	1.33	2.421414542	0.812767657	6.5	3.093072985	"50"	1	2.04405	0.07954	0.6126	4.620754338	1	5.647372	6	-16.434337	-71.014039
"51"	"134"	0	46	0.558041771	0.420503075	1	0.649	41.01855793	2.07206967	2.64	1.776295492	0.210308805	4.5	2.050886969	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.65225228	1	8.161328111	17	39.048539	-2.230433
"512"	"134"	0	46	0.558041771	0.420503075	1	0.649	41.01855793	2.07206967	2.64	1.776295492	0.210308805	4.5	2.050886969	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.65225228	1	8.161328111	17	39.048539	-2.230433
"513"	"134"	0	46	0.558041771	0.420503075	1	0.649	41.01855793	2.07206967	2.64	1.776295492	0.210308805	4.5	2.050886969	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.65225228	1	8.161328111	17	39.048539	-2.230433
"52"	"135"	1	46.5	0.650664369	0.501565431	1	0.649	2.455357143	1.92828829	1.69	1.72864684	0.224610126	4.5	2.407302577	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.0068403	1	8.241896321	11	39.048208	-2.2306
"521"	"135"	1	46.5	0.650664369	0.501565431	1	0.649	2.455357143	1.92828829	1.69	1.72864684	0.224610126	4.5	2.407302577	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.0068403	1	8.241896321	11	39.048208	-2.2306
"522"	"135"	1	46.5	0.650664369	0.501565431	1	0.649	2.455357143	1.92828829	1.69	1.72864684	0.224610126	4.5	2.407302577	"11.11111111"	17.65994	1.13349	9.42292	19.48243	12.0068403	1	8.241896321	11	39.048208	-2.2306
"53"	"136"	1	53.91666667	0.670198274	0.508082537	1	0.6088	55.88439324	2.065758922	3.22	1.749780167	0.150716589	20.75	2.589731398	"11.11111111"	29.07776	8.81234	2.79582	1.97914	14.6223552	1	8.092471577	8	40.326739	-3.423919
"531"	"136"	1	53.91666667	0.670198274	0.508082537	1	0.6088	55.88439324	2.065758922	3.22	1.749780167	0.150716589	20.75	2.589731398	"11.11111111"	29.07776	8.81234	2.79582	1.97914	14.6223552	1	8.092471577	8	40.326739	-3.423919
"532"	"136"	1	53.91666667	0.670198274	0.508082537	1	0.6088	55.88439324	2.065758922	3.22	1.749780167	0.150716589	20.75	2.589731398	"11.11111111"	29.07776	8.81234	2.79582	1.97914	14.6223552	1	8.092471577	8	40.326739	-3.423919
"54"	"137"	1	49.8	0.614978208	0.605824508	1	0.6125	19.79732594	1.895483321	2.65	1.951723983	0.185815452	18.75	2.716081913	"11.11111111"	35.10406	8.52876	2.51306	2.02479	13.42404173	1	8.24444784	12	40.319992	-3.426836
"541"	"137"	1	49.8	0.614978208	0.605824508	1	0.6125	19.79732594	1.895483321	2.65	1.951723983	0.185815452	18.75	2.716081913	"11.11111111"	35.10406	8.52876	2.51306	2.02479	13.42404173	1	8.24444784	12	40.319992	-3.426836
"542"	"137"	1	49.8	0.614978208	0.605824508	1	0.6125	19.79732594	1.895483321	2.65	1.951723983	0.185815452	18.75	2.716081913	"11.11111111"	35.10406	8.52876	2.51306	2.02479	13.42404173	1	8.24444784	12	40.319992	-3.426836
"55"	"138"	1	26.375	0.614728549	-0.382879304	0	0.6299	29.74054077	1.888970952	3.61	2.067621155	0.627681123	20.5	2.801197436	NA	28.79356	18.3926	4.17672	4.17754	9.414618933	1	7.747824742	14	40.248308	-3.256568
"551"	"138"	1	26.375	0.614728549	-0.382879304	0	0.6299	29.74054077	1.888970952	3.61	2.067621155	0.627681123	20.5	2.801197436	NA	28.79356	18.3926	4.17672	4.17754	9.414618933	1	7.747824742	14	40.248308	-3.256568
"552"	"138"	1	26.375	0.614728549	-0.382879304	0	0.6299	29.74054077	1.888970952	3.61	2.067621155	0.627681123	20.5	2.801197436	NA	28.79356	18.3926	4.17672	4.17754	9.414618933	1	7.747824742	14	40.248308	-3.256568
"56"	"139"	1	36.79166667	0.727562001	0.423366234	1	0.7235	17.95403358	1.927370363	4.94	1.768285969	0.192214187	21	2.659111109	"13.15789474"	10.38363	5.73057	28.40114	95.74034	12.0627623	1	8.05896843	30	37.799231	-1.303834
"561"	"139"	1	36.79166667	0.727562001	0.423366234	1	0.7235	17.95403358	1.927370363	4.94	1.768285969	0.192214187	21	2.659111109	"13.15789474"	10.38363	5.73057	28.40114	95.74034	12.0627623	1	8.05896843	30	37.799231	-1.303834
"562"	"139"	1	36.79166667	0.727562001	0.423366234	1	0.7235	17.95403358	1.927370363	4.94	1.768285969	0.192214187	21	2.659111109	"13.15789474"	10.38363	5.73057	28.40114	95.74034	12.0627623	1	8.05896843	30	37.799231	-1.303834
"57"	"140"	1	36.75	0.701696025	0.426549174	1	0.7096	21.21295036	1.816672066	5.35	1.948905881	0.198345787	15.75	2.671696265	"13.15789474"	10.38363	1.49947	43.65111	112.21664	12.70623949	1	8.103906844	27	37.800317	-1.305428
"571"	"140"	1	36.75	0.701696025	0.426549174	1	0.7096	21.21295036	1.816672066	5.35	1.948905881	0.198345787	15.75	2.671696265	"13.15789474"	10.38363	1.49947	43.65111	112.21664	12.70623949	1	8.103906844	27	37.800317	-1.305428
"572"	"140"	1	36.75	0.701696025	0.426549174	1	0.7096	21.21295036	1.816672066	5.35	1.948905881	0.198345787	15.75	2.671696265	"13.15789474"	10.38363	1.49947	43.65111	112.21664	12.70623949	1	8.103906844	27	37.800317	-1.305428
"58"	"143"	0	29.71666667	0.398086059	0.068444118	1	0.639	16.2567116	1.94047664	2.61	2.347508718	0.299463615	27.5	2.749798412	NA	13.83365	10.51494	2.02174	2.48323	15.74310511	1	8.038393047	10	40.143317	-3.132942
"581"	"143"	0	29.71666667	0.398086059	0.068444118	1	0.639	16.2567116	1.94047664	2.61	2.347508718	0.299463615	27.5	2.749798412	NA	13.83365	10.51494	2.02174	2.48323	15.74310511	1	8.038393047	10	40.143317	-3.132942
"582"	"143"	0	29.71666667	0.398086059	0.068444118	1	0.639	16.2567116	1.94047664	2.61	2.347508718	0.299463615	27.5	2.749798412	NA	13.83365	10.51494	2.02174	2.48323	15.74310511	1	8.038393047	10	40.143317	-3.132942
"59"	"146"	1	57.85833333	0.719703818	0.715955644	1	0.6212	12.99297376	1.97379726	4	1.797179713	0.264105367	14.75	2.767878548	"22.72727273"	14.2372	8.62647	2.39338	2.26461	13.36861699	1	8.043198909	17	40.208839	-3.418192
